Position,Album,Artists,Total,Daily
"1,101",Primer Dia De Clases,Mora,1248930361,1049573
"1,102",Jagged Little Pill,Alanis Morissette,1248315084,779625
"1,103",Wish You Were Here,Pink Floyd,1247745481,595817
"1,104",Gettin' Old,Luke Combs,1247396342,2854852
"1,105",Bridge Over Troubled Water,Simon & Garfunkel,1246336600,465024
"1,106",Trip At Knight,Trippie Redd,1246224864,602608
"1,107",Raised Under Grey Skies,JP Cooper,1243557414,156508
"1,108",Vultures 1,Kanye West & Ty Dolla Sign,1243198355,3744009
"1,109",Mamma Mia! Here We Go Again,Various Artists,1242423226,431883
"1,110",Birds Of Prey: The Album,Various Artists,1242167895,386476
"1,111",Uncovered,Robin Schulz,1241436982,135544
"1,112",Pa Que Hablen,Fuerza Regida,1241269795,1468402
"1,113",Survivor,Destiny's Child,1240062457,463662
"1,114",Salad Days,Mac DeMarco,1240023353,670073
"1,115",Artpop,Lady Gaga,1239875687,561515
"1,116",Confessions Of A Dangerous Mind,Logic,1239454833,210778
"1,117",Blacc Hollywood,Wiz Khalifa,1239325723,194711
"1,118",Sugar Papi,Marshmello,1239228925,1988616
"1,119",Crybaby,Lil Peep,1236596148,851292
"1,120",Honky Château,Elton John,1234729025,735674
"1,121",Mudboy,Sheck Wes,1234491283,355000
"1,122",1 Of 1,Sech,1233517740,160210
"1,123",Minecraft - Volume Alpha,C418,1233184074,1230313
"1,124",Pray 4 Love,Rod Wave,1228721041,506445
"1,125",Tragic Kingdom,No Doubt,1226293931,936308
"1,126",Hannah Montana: The Movie,Miley Cyrus & Various Artists,1225965686,551466
"1,127",So Far Gone,Drake,1225370417,620340
"1,128",Dig Your Roots,Florida Georgia Line,1224910836,273787
"1,129",Euphoria,Enrique Iglesias,1224905058,763909
"1,130","Sit Still, Look Pretty",Daya,1223833152,1036819
"1,131",James Arthur,James Arthur,1222344020,503110
"1,132",Ardipithecus,Willow,1221396215,558851
"1,133",Lost & Found,Jorja Smith,1221077910,316562
"1,134",Religiously. The Album.,Bailey Zimmerman,1217577631,1895512
"1,135",Les Étoiles Vagabondes,Nekfeu,1217106626,447630
"1,136",Every Cloud - Silver Linings,Sigala,1216168551,544263
"1,137",Brothers,The Black Keys,1214003439,423470
"1,138",Portales,Tiago PZK,1212776638,543004
"1,139",Kids In Love,Kygo,1211909786,180255
"1,140",Kick,INXS,1211816949,0
"1,141",SweetSexySavage,Kehlani,1211785831,413147
"1,142",Golpe Avisa,Cartel De Santa,1210735543,634024
"1,143",Starting Over,Chris Stapleton,1210716118,1568861
"1,144",Collide With The Sky,Pierce The Veil,1208822758,915241
"1,145",Out Of The Blue,Electric Light Orchestra,1208496546,512433
"1,146",Please Please Me,The Beatles,1207774300,722912
"1,147",Des/Amor,Reik,1205341968,421525
"1,148",Melly vs. Melvin,YNW Melly,1205209202,326938
"1,149",Appeal To Reason,Rise Against,1203547269,571013
"1,150",Golden Hour,Kacey Musgraves,1202860660,372835
"1,151","Fijación Oral, Vol. 1",Shakira,1202671130,1253177
"1,152",Pretty Girls Like Trap Music,2 Chainz,1202430281,145918
"1,153",Me And My Gang,Rascal Flatts,1202250456,592454
"1,154",Tell Me It's Real,Seafret,1201282837,1006117
"1,155",Nav,Nav,1199134862,191546
"1,156",The Predator,Ice Cube,1198454438,781923
"1,157",Carbon Fiber Hits,Various Artists,1197951345,395663
"1,158",Love Is A Four Letter Word,Jason Mraz,1197379978,291665
"1,159",ADHD,Joyner Lucas,1197169166,266687
"1,160",Fábula,Mahalini,1196672638,1618672
"1,161",YBN: The Mixtape,YBN Nahmir,1196347137,216806
"1,162",Phobia,Breaking Benjamin,1194999745,617020
"1,163",Deadroses,Blackbear,1194932415,163130
"1,164",Business As Usual,Men At Work,1194612728,1209685
"1,165",Ha*Ash Primera Fila - Hecho Realidad,Ha*Ash,1193686382,611146
"1,166",Unstoppable,Karol G,1193333204,591804
"1,167",Ocean Eyes,Owl City,1192913978,489397
"1,168",Top Gun,Various Artists,1192093162,710320
"1,169",Wildfire,Rachel Platten,1189416424,312799
"1,170",Hello This Is The Setlist For My Tour,Gayle,1189264168,321583
"1,171",Make It Big,Wham!,1188404954,626707
"1,172",Moosetape,Sidhu Moose Wala,1187584763,1140398
"1,173",The Last Don,Don Omar,1187191831,1254170
"1,174",Los Legendarios 001,Los Legendarios,1185599803,226681
"1,175",Hasta El Fin Del Mundo,Kevin Kaarl,1185520538,945510
"1,176",Enter The Wu-Tang (36 Chambers),Wu-Tang Clan,1184982370,490086
"1,177",Leave It Beautiful,Astrid S,1184776459,295600
"1,178",The Reason,Hoobastank,1184730897,669449
"1,179",Romance,Luis Miguel,1183199424,808273
"1,180",Section.80,Kendrick Lamar,1182992364,649201
"1,181",Fanmail,TLC,1181568107,988330
"1,182",Dreams Worth More Than Money,Meek Mill,1180905216,254687
"1,183",Buds,Surf Curse,1179451691,827835
"1,184",Trip,Jhené Aiko,1175897287,694470
"1,185",3,Marc Anthony,1175835793,489317
"1,186",East Atlanta Love Letter,6lack,1174919736,259916
"1,187",A Love Letter To You,Trippie Redd,1174554426,226747
"1,188",Silver Side Up,Nickelback,1173793890,1177008
"1,189",Look Up Child,Lauren Daigle,1173682426,512039
"1,190",Oops!... I Did It Again,Britney Spears,1171746151,601788
"1,191",A Christmas Gift For You From Philles Records,Various Artists,1171390735,16580
"1,192",American Dream,21 Savage,1171039599,4063590
"1,193",An Innocent Man,Billy Joel,1168808672,1256389
"1,194",Sam's Town,The Killers,1168077862,537224
"1,195",The Most Beautiful Moment In Life (????) Pt. 2,BTS,1167442130,411007
"1,196",Lonerism,Tame Impala,1166949066,537628
"1,197",Aerosmith,Aerosmith,1166795710,768791
"1,198",Jesus Is King,Kanye West,1166011016,434766
"1,199",Unreal Unearth,Hozier,1165368211,7478697
"1,200",Legendaddy,Daddy Yankee,1162529248,415936
"1,201",OzuTochi,Ozuna,1162197868,729765
"1,202",Tailgates & Tanlines,Luke Bryan,1161797628,528762
"1,203",St. Elsewhere,Gnarls Barkley,1160598916,622741
"1,204",LANY,LANY,1160306805,342638
"1,205",The Most Beautiful Moment In Life (????) Pt. 1,BTS,1159601728,363134
"1,206",Mini World,Indila,1157449462,1035474
"1,207",Montana,French Montana,1157440790,111268
"1,208",No Strings Attached,*NSYNC,1157015312,532383
"1,209",Tangled,Alan Menken,1156769701,743593
"1,210",Invincible Friends,Lilly Wood and The Prick,1156568539,463434
"1,211",Astro Lounge,Smash Mouth,1155833063,609293
"1,212",Festa Das Patroas 35%,"Marília Mendonça, Maiara & Maraisa",1154190918,442760
"1,213",The Land Is Inhospitable And So Are We,Mitski,1154106256,2736337
"1,214",Red Moon In Venus,Kali Uchis,1153594765,1302727
"1,215",Breakfast In America,Supertramp,1150257352,758172
"1,216",Sehnsucht,Rammstein,1150118769,907684
"1,217",Psychodrama,Dave,1149487044,535483
"1,218",Until Death Call My Name,YoungBoy Never Broke Again,1149381657,453369
"1,219",Viejo Marihuano,Cartel De Santa,1149271576,551331
"1,220",The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,David Bowie,1148654552,651772
"1,221",Nightmare,Avenged Sevenfold,1148587820,1021009
"1,222",Timelezz,Jhayco,1148484087,651489
"1,223",Mix Pa Llorar En Tu Cuarto,Ed Maverick,1147866326,691005
"1,224",Mail On Sunday,Flo Rida,1146280475,629073
"1,225",War & Leisure,Miguel,1146121594,295652
"1,226","Love, Damini",Burna Boy,1145591150,825172
"1,227",Epiphany,T-Pain,1144653205,585582
"1,228",Three Days Grace,Three Days Grace,1143633400,576316
"1,229","Oh, What A Life",American Authors,1142037223,572797
"1,230",Led Zeppelin III,Led Zeppelin,1139481813,511021
"1,231",OK Orchestra,AJR,1137850783,571300
"1,232",Grand Champ,DMX,1137371565,452239
"1,233",Cowboy Carter,Beyoncé,1137190776,4959657
"1,234",Más,Alejandro Sanz,1136917878,573301
"1,235",To Be (Ao Vivo),Henrique & Juliano,1134967820,2675634
"1,236",It's Time,Michael Bublé,1134198182,570788
"1,237",Megalithic Symphony,Awolnation,1133172651,242913
"1,238","Rise And Fall, Rage And Grace",The Offspring,1131109513,792580
"1,239",Unwritten,Natasha Bedingfield,1130141182,1975102
"1,240",Phoenix,Elley Duhé,1130099333,746620
"1,241",Rated R,Rihanna,1129492983,558535
"1,242",Voices,Daryl Hall & John Oates,1128060486,1085701
"1,243",Mi Vida En Un Cigarro 2,Junior H,1127298795,1246798
"1,244",Therapy Session,NF,1127024494,279139
"1,245",How To Be A Human Being,Glass Animals,1126319509,693921
"1,246",Chris Brown,Chris Brown,1125503367,563266
"1,247",Simi,BlocBoy JB,1123460913,134784
"1,248",Malibu Nights,LANY,1123027042,416357
"1,249",Beauty And The Beast (2017),Alan Menken,1121689147,280605
"1,250",Dangerous,Michael Jackson,1120477633,602820
"1,251",A Million Ways To Murder,Kordhell,1119973492,956638
"1,252",Dex Meets Dexter,Famous Dex,1119167202,146681
"1,253",After Laughter,Paramore,1119083777,443452
"1,254",One In A Million,Matoma,1118978383,140645
"1,255",Did You Know That There's A Tunnel Under Ocean Blvd,Lana Del Rey,1118831005,1995596
"1,256",Black Star Elephant,Nico & Vinz,1117688593,385398
"1,257",Definitely Maybe,Oasis,1117300028,688899
"1,258",The Resistance,Muse,1116896031,385765
"1,259",The Better Life,3 Doors Down,1116788316,559856
"1,260",El Camino,The Black Keys,1114448383,875555
"1,261",High Voltage,AC/DC,1114220270,690485
"1,262",Demidevil,Ashnikko,1114175389,409411
"1,263",Hail To The King,Avenged Sevenfold,1113690437,816930
"1,264",A Winter Romance,Dean Martin,1112978551,20233
"1,265",Pitbull Starring In Rebelution,Pitbull,1111810102,694222
"1,266",Chapter 1,Girl In Red,1109422314,419881
"1,267",Amor Prohibido,Selena,1109304293,852779
"1,268",I,Ofenbach,1105549151,424801
"1,269",Don't Play That Song,Ben E. King,1105086973,727375
"1,270",Under Pressure,Logic,1104944394,151669
"1,271",Got Your Six,Five Finger Death Punch,1104090792,437061
"1,272",Straight Outta Compton,N.W.A.,1104013471,446917
"1,273",Who's Next,The Who,1102848730,436841
"1,274",Romances,Luis Miguel,1102415229,728250
"1,275",.5: The Gray Chapter,Slipknot,1101606030,739243
"1,276",Are You Experienced,Jimi Hendrix,1101569481,380460
"1,277",Crónicas De Una Guerra,Carlos Rivera,1101264334,437639
"1,278",Doggystyle,Snoop Dogg,1100970925,524387
"1,279",Where The Light Is: John Mayer Live In Los Angeles,John Mayer,1100843426,230362
"1,280",Just As I Am,Bill Withers,1100316178,1517791
"1,281",Up From Below,Edward Sharpe & The Magnetic Zeros,1100189124,518712
"1,282",As I Am,Alicia Keys,1100163581,418763
"1,283",Interstellar,Hans Zimmer,1099113814,761034
"1,284",Oh Wonder,Oh Wonder,1097317385,155057
"1,285",Avenged Sevenfold,Avenged Sevenfold,1096930518,1626662
"1,286",Good Evening,Deorro,1095891815,436094
"1,287",La Trenza,Mon Laferte,1095561391,953403
"1,288","Members Only, Vol. 3",XXXTentacion & Various Artists,1095344257,341757
"1,289",Never Trust A Happy Song,Grouplove,1093571057,675817
"1,290",Backstreet's Back,Backstreet Boys,1092876838,951715
"1,291",Bloom,Troye Sivan,1092640232,196037
"1,292",Where The Light Is,Surfaces,1092082930,311711
"1,293",Le Fabuleux Destin D'Amélie Poulain,Yann Tiersen,1091851831,429536
"1,294",Palmen Aus Plastik / Tannen Aus Plastik,Bonez MC & RAF Camora,1091689507,276136
"1,295",Simplemente Gracias,Calibre 50,1091419077,512203
"1,296",Total Xanarchy,Lil Xan,1090656404,122693
"1,297",All That We Needed,Plain White T's,1090575551,426420
"1,298",Wilder Mind,Mumford & Sons,1089689554,178703
"1,299",Shershaah (??????),Various Artists,1088875305,637641
"1,300","All Killer, No Filler",Sum 41,1088454794,586894
"1,301",Purple Rain,Prince And The Revolution,1086792336,495778
"1,302",This Is... Icona Pop,Icona Pop,1086541277,646626
"1,303",…And Justice For All,Metallica,1085249101,620374
"1,304",Younger Now,Miley Cyrus,1084261248,226962
"1,305",Historias De Un Capricornio,Arcángel,1084222853,255377
"1,306",El Karma,Los Plebes Del Rancho De Ariel Camacho,1083890588,727479
"1,307",The Andy Williams Christmas Album,Andy Williams,1083756198,19117
"1,308",You Get What You Give,Zac Brown Band,1083555612,701256
"1,309",A Gift & A Curse,Gunna,1083249576,1390724
"1,310",Electric Ladyland,Jimi Hendrix,1083237608,391003
"1,311",Stranger In The Alps,Phoebe Bridgers,1080832163,936915
"1,312",Man On The Moon III: The Chosen,Kid Cudi,1078833292,243491
"1,313",¿Dónde Jugarán Los Niños?,Maná,1078198063,802476
"1,314",Scaled And Icy,Twenty One Pilots,1077964812,553968
"1,315",I Used To Think I Could Fly,Tate McRae,1076639645,633990
"1,316",The New Abnormal,The Strokes,1076459425,986794
"1,317",Replay,Iyaz,1074644215,998138
"1,318",You Will Regret,Ski Mask The Slump God,1074404000,244427
"1,319",Humanz,Gorillaz,1073720449,438197
"1,320",Melim,Melim,1073227598,258350
"1,321",Daydream,Mariah Carey,1072821526,638631
"1,322",Dropped Outta College,24kGoldn,1072604714,225077
"1,323",Smash,The Offspring,1071647671,600567
"1,324",Fuzzybrain,Dayglow,1071432677,498670
"1,325",All Or Nothing,Jay Sean,1070795478,598966
"1,326",Wild West,Central Cee,1069674276,623955
"1,327",Slowhand,Eric Clapton,1069131592,469212
"1,328",The Best Damn Thing,Avril Lavigne,1068779685,540737
"1,329",La Mejor Versión De Mí,Banda MS De Sergio Lizárraga,1068383298,572023
"1,330",Blowin' Your Mind!,Van Morrison,1068289073,1102462
"1,331",Big Baby DRAM,DRAM,1068214754,150591
"1,332",Balance,Armin van Buuren,1067431325,252659
"1,333",The Doors,The Doors,1066740437,486004
"1,334","Echoes, Silence, Patience & Grace",Foo Fighters,1065709356,478862
"1,335",Supernatural,Santana,1065465800,675535
"1,336",Blood Harmony,Finneas,1065461830,295299
"1,337",Menari Dengan Bayangan,Hindia,1065393128,1279341
"1,338",Mainstream Sellout,Machine Gun Kelly,1065146484,570225
"1,339",Dr. Feelgood,Mötley Crüe,1064843058,659383
"1,340",Merry Christmas From Brenda Lee,Brenda Lee,1064142924,24500
"1,341",Si Ayer Fuera Hoy,Morat,1062429301,1192797
"1,342",Soy Como Quiero Ser,Luis Miguel,1060597730,0
"1,343",7220,Lil Durk,1060360227,918015
"1,344",Corta Venas,Eslabon Armado,1060356923,527919
"1,345",Lo Que Te Conté Mientras Te Hacías La Dormida,La Oreja De Van Gogh,1059375581,1286925
"1,346",Un Día Normal,Juanes,1059102697,877937
"1,347",3men2 Kbrn,Eladio Carrion,1058408754,877614
"1,348",Professional Rapper,Lil Dicky,1057205470,126948
"1,349",Fan Of A Fan: The Album,Chris Brown,1056963217,209527
"1,350",Pet Sounds,The Beach Boys,1056070277,649564
"1,351",What Dreams Are Made Of,R. City,1055040817,647987
"1,352",Good Times Go,Nicky Youre,1054057250,1176100
"1,353",La Melodia De La Calle,Tony Dize,1054010239,1496170
"1,354",Buteco In Boston (Ao Vivo),Gusttavo Lima,1053715927,250981
"1,355",Growin' Up,Luke Combs,1052429431,1191424
"1,356",Sheer Heart Attack,Queen,1051560117,589967
"1,357",Para Mi Ex,Myke Towers,1051240473,504901
"1,358",In Rainbows,Radiohead,1050490689,922916
"1,359",Significant Other,Limp Bizkit,1050173448,1034442
"1,360",Care Package,Drake,1050155507,666802
"1,361",Visualízate,Gente De Zona,1049945188,288497
"1,362",The Trinity,Sean Paul,1049162414,686919
"1,363",Blackout,Britney Spears,1048169028,710964
"1,364","Huncho Jack, Jack Huncho",Travis Scott & Quavo,1048073401,203551
"1,365",I Told You,Tory Lanez,1047686248,404500
"1,366",Mon Laferte Vol. 1,Mon Laferte,1047552238,915539
"1,367",Chief,Eric Church,1047455538,541582
"1,368",Revolve,John Newman,1044987209,407085
"1,369",Shiesty Season,Pooh Shiesty,1044956495,545386
"1,370",Six Jewels 23,Yng Lvcas,1044524201,805408
"1,371",Feed Tha Streets II,Roddy Ricch,1044112764,292775
"1,372",Ipséité,Damso,1043541757,439413
"1,373",This Is All Yours,alt-J,1042433427,453750
"1,374",Déjenme Llorar,Carla Morrison,1041732919,679188
"1,375",Third Eye Blind,Third Eye Blind,1041573740,495086
"1,376",Prometo,Pablo Alborán,1041088338,588536
"1,377",Homecoming: The Live Album,Beyoncé,1040856645,269013
"1,378",Dirt,Alice In Chains,1040731786,674348
"1,379",Bluebird Days,Jordan Davis,1040106246,1760389
"1,380",Mr. Davis,Gucci Mane,1038131622,151023
"1,381",Hurts 2B Human,P!nk,1037509701,187218
"1,382",The Chaos Chapter: Freeze / Fight Or Escape,Tomorrow X Together,1036829468,520482
"1,383",The Temptations Sing Smokey,The Temptations,1036684564,800680
"1,384",Presence,Petit Biscuit,1036230462,195355
"1,385",Partymobile,PartyNextDoor,1036214119,281287
"1,386",Lay Your Hands Upon My Heart,Rosa Linn,1036037261,941432
"1,387",Bury Me At Makeout Creek,Mitski,1035498389,1002701
"1,388",Tini Tini Tini,Tini,1034658293,299186
"1,389",Still Striving,ASAP Ferg,1034641091,178359
"1,390",Diana Ross Presents The Jackson 5,The Jackson 5,1034366142,494026
"1,391",Escolhas (Ao Vivo),Zé Neto & Cristiano,1032517683,1520976
"1,392",Dynasty,Kiss,1032273711,771168
"1,393",Rolling Papers 2,Wiz Khalifa,1032138610,149367
"1,394",Oh My My,OneRepublic,1031892108,209056
"1,395",Make Yourself,Incubus,1031718460,747301
"1,396",Franz Ferdinand,Franz Ferdinand,1029284269,759684
"1,397",Life In Cartoon Motion,Mika,1029282342,496776
"1,398",My 21st Century Blues,Raye,1029212778,1153712
"1,399",We Don't Trust You,Future & Metro Boomin,1028388974,7933882
"1,400",A Moment Apart,Odesza,1028134044,289715
"1,401",Trouble,Akon,1026550531,778822
"1,402",Chilombo,Jhené Aiko,1026008576,375730
"1,403",Play Deep,The Outfield,1024815640,1470846
"1,404",Paraíso,Mora,1024564873,906163
"1,405",Bon Iver,Bon Iver,1024021822,308882
"1,406",The Beginning,Black Eyed Peas,1023900048,662863
"1,407",21st Century Breakdown,Green Day,1023730770,644850
"1,408",Apricot Princess,Rex Orange County,1022674932,478274
"1,409",Brol,Angèle,1020336908,244409
"1,410",Whenever You Need Somebody,Rick Astley,1019529025,0
"1,411",Platte,Apache 207,1018977432,352463
"1,412",Trozos De Mi Alma,Marco Antonio Solís,1018909865,718471
"1,413",Wolf,"Tyler, The Creator",1017574662,642072
"1,414",Mirror,Lauren Spencer Smith,1016106182,790578
"1,415",Graceland,Paul Simon,1013649047,348596
"1,416",Warrior,Kesha,1011512511,437551
"1,417",One Of One,Starley,1011211245,146000
"1,418",Surfer Rosa,Pixies,1010609794,593797
"1,419",Turning Point,Mario,1009604406,719212
"1,420",Nation Of Two,Vance Joy,1009400679,345950
"1,421",We Love You Tecca 2,Lil Tecca,1008963288,676529
"1,422",@dannocean,Danny Ocean,1008748474,599797
"1,423",The Sickness,Disturbed,1008713961,519464
"1,424",PartyNextDoor 3,PartyNextDoor,1008688845,294504
"1,425",It's Only Me,Lil Baby,1008295441,640763
"1,426",¿Con Quién Se Queda El Perro?,Jesse & Joy,1007613787,626400
"1,427",Rapunzel,dhruv,1007551031,1171307
"1,428",Xscape,Michael Jackson,1007023155,557101
"1,429",Music Is The Weapon,Major Lazer,1006892779,242082
"1,430",Crush,Bon Jovi,1003441656,579943
"1,431",The Family Jewels,Marina,1003258235,737863
"1,432",The Hobbit: The Desolation Of Smaug,Howard Shore,1003186782,159527
"1,433",Too Hard,Lil Baby,1002858457,679008
"1,434",Busyhead,Noah Kahan,1002228270,765661
"1,435",The Rising Tied,Fort Minor,1001849261,282480
"1,436",Blur,Blur,1001829704,647068
"1,437",Lil Kiwi,Kiiara,1001365783,99626
"1,438",If You Can Believe Your Eyes & Ears,The Mamas & The Papas,998977046,905161
"1,439",Como. Sempre Feito. Nunca (Ao Vivo),Jorge & Mateus,998855660,572636
"1,440",Hellboy,Lil Peep,997436667,630758
"1,441",We Broke The Rules,Aventura,996852477,1312194
"1,442",If You Wait,London Grammar,996645072,340307
"1,443",Country Grammar,Nelly,996487761,512290
"1,444",Away From The Sun,3 Doors Down,995002388,530848
"1,445",Lyfë,Yeat,994997806,997869
"1,446",Toys In The Attic,Aerosmith,994820069,463851
"1,447",A Corazón Abierto,Alejandro Fernández,994647601,438142
"1,448",Noeasy,Stray Kids,993706695,671922
"1,449",Forever Young,Alphaville,993692658,671835
"1,450",Sr. Santos,Arcángel,993164278,542002
"1,451",Father Of 4,Offset,993096247,170512
"1,452",Kring,Kevin Roldán,992113964,314999
"1,453",Hysteria,Def Leppard,991581750,0
"1,454",Revolver,The Beatles,991385394,499768
"1,455",August And Everything After,Counting Crows,989981608,452707
"1,456",La Criatura,Nacho,989939656,171103
"1,457",Mansion,NF,989580456,286916
"1,458",Heaven Knows,PinkPantheress,989268445,786618
"1,459",Tarzan,Phil Collins & Mark Mancina,987907795,386518
"1,460",Fleur Froide,Tayc,986552202,864312
"1,461",Stripped,Christina Aguilera,985806079,322611
"1,462",California 37,Train,984801381,856278
"1,463",Flockaveli,Waka Flocka Flame,984633767,407961
"1,464",Tyla,Tyla,983561908,4704441
"1,465",Outlandos D'Amour,The Police,982312612,733576
"1,466",Reckless,Nav,982264984,122190
"1,467",Kids See Ghosts,Kanye West & Kid Cudi,981552747,268493
"1,468",My Krazy Life,YG,981341849,267041
"1,469",Crazy World,Scorpions,981250404,595628
"1,470",Room For Squares,John Mayer,980890017,257822
"1,471",Ferxxo (Vol 1: M.O.R),Feid,979335974,631971
"1,472",At Last!,Etta James,979217266,566149
"1,473",2 Alivë,Yeat,979067001,668217
"1,474",The Animals [US],The Animals,978639344,519148
"1,475",The Final Countdown,Europe,978189145,486072
"1,476",Magical Mystery Tour,The Beatles,978105926,328697
"1,477",Victory Lap,Nipsey Hussle,977555100,336043
"1,478",Novas Histórias (Ao Vivo),Henrique & Juliano,977226959,877735
"1,479",Culture III,Migos,976871199,465761
"1,480","The Wrong Side Of Heaven And The Righteous Side Of Hell, Volume 1",Five Finger Death Punch,976512136,343869
"1,481",Alfa & Omega,Alfredo Olivas,976086791,1358852
"1,482",No Sound Without Silence,The Script,975278262,268808
"1,483",Breakthrough,Colbie Caillat,974673351,294028
"1,484",Pies Descalzos,Shakira,974203419,859859
"1,485",Poster Girl,Zara Larsson,973811066,167229
"1,486",Anavitória,Anavitória,973796017,242821
"1,487",A Beautiful Lie,Thirty Seconds To Mars,973744600,623609
"1,488",Dear Evan Hansen,"Benj Pasek, Justin Paul & Various Artists",973007383,291046
"1,489",Flashdance,Various Artists,971546688,744841
"1,490",Ichi (?),Yuuri,971422828,515194
"1,491",Takin' It Back,Meghan Trainor,971045087,899001
"1,492",American Pie,Don McLean,970666563,456585
"1,493","Bigger, Better, Faster, More!",4 Non Blondes,970403671,494884
"1,494",SoulFly,Rod Wave,970057506,546510
"1,495",The Emancipation Of Mimi,Mariah Carey,970036284,551438
"1,496",Monokrom,Tulus,969780940,862541
"1,497",Caraluna,Bacilos,969325255,507700
"1,498",Dejarte De Amar,Camila,968877780,745339
"1,499",Prince Royce,Prince Royce,968698947,726547
"1,500",Get A Grip,Aerosmith,968151035,446813
"1,501",Bien O Mal,Trueno,967561226,1072158
"1,502",The Sound Of Madness,Shinedown,967506441,400762
"1,503",Room On Fire,The Strokes,966864150,725080
"1,504",Sueños Líquidos,Maná,966862133,690436
"1,505",Top,YoungBoy Never Broke Again,965230850,523084
"1,506",Who Is Nardo Wick??,Nardo Wick,964699772,545593
"1,507",The Infamous,Mobb Deep,964408594,505133
"1,508",Jingle Bell Rock,Bobby Helms,964233074,25601
"1,509",Pitch Perfect 2,Various Artists,964152129,195360
"1,510",Marília Mendonça - Ao Vivo,Marília Mendonça,963644042,505435
"1,511",Vampire Weekend,Vampire Weekend,963526165,390264
"1,512",Ceinture Noire,Gims,962804145,324724
"1,513",The Little Mermaid,Alan Menken,962756017,383508
"1,514",Realidade - Ao Vivo Em Manaus,Marília Mendonça,960932935,365811
"1,515",Moondance,Van Morrison,960135327,441670
"1,516",Limón Y Sal,Julieta Venegas,959431875,879942
"1,517",Atrevido,Trueno,959228778,924242
"1,518",My Liver Will Handle What My Heart Can't,Suicideboys,959181156,461349
"1,519",Free Wired,Far East Movement,958743908,456216
"1,520",Pony,Rex Orange County,958096693,405560
"1,521",Post Human: Survival Horror,Bring Me The Horizon,957180894,719546
"1,522",Weezer (Green Album),Weezer,956181709,712826
"1,523",American IV: The Man Comes Around,Johnny Cash,954665337,327978
"1,524",Falling Into You,Céline Dion,954002259,556370
"1,525",Talento De Barrio,Daddy Yankee,953182890,940890
"1,526",Like..?,Ice Spice,952423628,694769
"1,527",Little Dark Age,MGMT,949419991,444480
"1,528",Rearview Town,Jason Aldean,948787242,297620
"1,529",Animal Songs,Pinkfong,948702728,491485
"1,530",Playa Saturno,Rauw Alejandro,948146710,2035008
"1,531",Unleashed Beyond,Skillet,945546179,479074
"1,532",Resistencia,Yandel,945339838,524204
"1,533",Punisher,Phoebe Bridgers,945329750,568722
"1,534",Elton John,Elton John,944915548,551277
"1,535",Big Willie Style,Will Smith,944811408,524905
"1,536",All Things Must Pass,George Harrison,943168552,416957
"1,537",Heard It In A Past Life,Maggie Rogers,942273638,451522
"1,538",Nada Como Um Dia Após O Outro Dia,Racionais MC's,942194265,868066
"1,539",Toto,Toto,941751973,1280595
"1,540",Songs For The Deaf,Queens Of The Stone Age,941462354,582175
"1,541",Let The Road,Rixton,941021438,332825
"1,542",Music Of The Sun,Rihanna,940425414,646135
"1,543",Por Mais Beijos Ao Vivo,Zé Neto & Cristiano,939953375,169469
"1,544",Garage Inc.,Metallica,938816952,514397
"1,545",Skool Luv Affair,BTS,938510521,406878
"1,546",Eagles,Eagles,938044686,578268
"1,547",Broken By Desire To Be Heavenly Sent,Lewis Capaldi,937344056,980039
"1,548",Homesick,A Day To Remember,936610575,410217
"1,549",Faith,Pop Smoke,936505831,368968
"1,550",Vibes,Vacations,936408235,974689
"1,551",Illmatic,Nas,936297959,549309
"1,552",Made,BigBang,935541077,334596
"1,553","Mor, No Le Temas A La Oscuridad",Feid,935268282,1572101
"1,554",A Pentatonix Christmas,Pentatonix,934934538,103872
"1,555",Follow The Leader,Korn,934799911,649359
"1,556",Pa'l Mundo,Wisin & Yandel,933832815,771594
"1,557",Man Of The Woods,Justin Timberlake,933224518,151450
"1,558",A Girl Like Me,Rihanna,932145927,571455
"1,559",Life Support,Madison Beer,930978667,333684
"1,560",Cage The Elephant,Cage The Elephant,929828039,445036
"1,561",Kill The Lights,Luke Bryan,929763086,182467
"1,562",Hey World,Lee Brice,929165996,461215
"1,563",Around The Fur,Deftones,928517673,1279448
"1,564",23 6451,Thasup,928087572,186840
"1,565",Blue Hawaii,Elvis Presley,927289255,649523
"1,566",Eu Tenho A Senha,João Gomes,927072961,391277
"1,567",Nimrod,Green Day,926962419,505090
"1,568",More Than Just A Dream,Fitz And The Tantrums,926730720,622758
"1,569",Let's Bora (Ao Vivo),Israel & Rodolffo,926510992,393684
"1,570",I've Tried Everything But Therapy,Teddy Swims,926222298,6087064
"1,571","Cover Sessions, Vol. 3",Boyce Avenue,926162395,189093
"1,572",Langit Mong Bughaw,December Avenue,926103294,476563
"1,573",Inner Monologue Part 1,Julia Michaels,926005702,308132
"1,574",Goblin,"Tyler, The Creator",925601276,744198
"1,575",Sie7e +,Danna Paola,925181175,223159
"1,576",D-2,Agust D,923303605,528389
"1,577",Emotion,Carly Rae Jepsen,923287104,179796
"1,578",It's About Us,Alex & Sierra,923237224,166967
"1,579",Drip Or Drown 2,Gunna,923001988,280161
"1,580",Pier Pressure,ArrDee,922824088,298663
