Position,Album,Artists,Total,Daily
426,8 Mile,Eminem & Various Artists,2478996181,1273533
427,2000,Manuel Turizo,2464086955,2859358
428,You,James Arthur,2464013940,1186490
429,There's Really A Wolf,Russ,2461224553,608647
430,Over It,Summer Walker,2458117177,1320514
431,Lungs,Florence + The Machine,2457912157,1532026
432,Pink Friday: Roman Reloaded,Nicki Minaj,2456821360,1344127
433,Heaven Or Hell,Don Toliver,2449112549,1142314
434,Love Yourself: Her,BTS,2444721344,729567
435,Human,OneRepublic,2441941784,773983
436,Life After Death,The Notorious B.I.G.,2440943036,1145534
437,Long. Live. ASAP,ASAP Rocky,2438277267,1242873
438,Planet Pit,Pitbull,2416675016,2357697
439,Speak Now (Taylor's Version),Taylor Swift,2415837787,3091641
440,Meet The Orphans,Don Omar,2411315462,2200169
441,Settle,Disclosure,2410437829,1031653
442,Yeezus,Kanye West,2397184089,1097377
443,H.E.R.,H.E.R.,2393935876,1371386
444,The 1975,The 1975,2391203014,676223
445,Rave & Roses,Rema,2386569171,1723720
446,Fearless,Taylor Swift,2381514898,856974
447,The Joshua Tree,U2,2380495004,0
448,Queen,Nicki Minaj,2368093245,433321
449,Fallen,Evanescence,2368072240,1768648
450,X&Y,Coldplay,2367857362,1052860
451,Cupido,Tini,2367192879,1584285
452,F.A.M.E.,Maluma,2364954312,461029
453,Escape,Journey,2361065888,1935227
454,Get Weird,Little Mix,2360039762,677320
455,Coloring Book,Chance the Rapper,2348962050,284478
456,Euphoria,Labrinth,2341039747,1672678
457,Now Or Never,Nio Garcia & Casper Magico,2339007624,628418
458,Late Registration,Kanye West,2335539760,1355813
459,Hopes And Fears,Keane,2335449439,2074671
460,Songs From The Big Chair,Tears For Fears,2321834301,2049195
461,Ocean,Karol G,2314323428,806168
462,Dookie,Green Day,2313716837,1423342
463,Hotel California,Eagles,2303124842,1152900
464,Jungle Rules,French Montana,2301460506,1612476
465,Blood Sugar Sex Magik,Red Hot Chili Peppers,2299292936,1118288
466,Late Nights: The Album,Jeremih,2299155987,596941
467,The Dark Side Of The Moon,Pink Floyd,2284421848,1119082
468,The Beautiful & Damned,G-Eazy,2283859703,579872
469,Random Access Memories,Daft Punk,2279329055,853782
470,Pa Las Baby's Y Belikeada,Fuerza Regida,2278775727,6129282
471,World War Joy,The Chainsmokers,2277623973,319872
472,Tell Me You Love Me,Demi Lovato,2275794634,298958
473,Get To Know,Becky Hill,2264276729,514443
474,Trench,Twenty One Pilots,2263112121,936536
475,Dangerously In Love,Beyoncé,2262853917,1327722
476,OK Computer,Radiohead,2259654865,1889808
477,Hands All Over,Maroon 5,2255602781,1332064
478,Sadnecessary,Milky Chance,2255214981,1243803
479,Die A Legend,Polo G,2251798773,674894
480,Always in Between,Jess Glynne,2247466102,512782
481,"Come Over When You're Sober, Pt. 1",Lil Peep,2245114634,611002
482,Demi,Demi Lovato,2241494918,827383
483,La 167,Farruko,2238092372,689885
484,Synchronicity,The Police,2237160806,1832788
485,The College Dropout,Kanye West,2224186394,1577388
486,Mañana Será Bonito (Bichota Season),Karol G,2223884814,4448251
487,Translation,Black Eyed Peas,2221807670,408530
488,The Massacre,50 Cent,2215453627,1383512
489,Without Fear,Dermot Kennedy,2214706345,599632
490,Fireworks & Rollerblades,Benson Boone,2212422010,11896225
491,Lust For Life,Lana Del Rey,2203430768,1188806
492,"At Night, Alone.",Mike Posner,2202928766,766521
493,Konvicted,Akon,2200491540,1797277
494,Because The Internet,Childish Gambino,2195864165,919664
495,Certified Hitmaker,Lil Mosey,2195237068,477929
496,Traveller,Chris Stapleton,2194467100,1654557
497,Pink Friday,Nicki Minaj,2193712066,1135048
498,Las Que No Iban A Salir,Bad Bunny,2188269519,603399
499,Testing,ASAP Rocky,2186880837,1300035
500,My Head Is An Animal,Of Monsters and Men,2177751070,834767
501,News Of The World,Queen,2176697883,1137316
502,Some Nights,fun.,2175692311,864241
503,"Whatever People Say I Am, That's What I'm Not",Arctic Monkeys,2174735654,935435
504,Relapse,Eminem,2171111519,828501
505,Encanto,Lin-Manuel Miranda,2170360139,889294
506,Music Of The Spheres,Coldplay,2168109299,935306
507,Toto IV,Toto,2168044498,1444005
508,Kiss,Carly Rae Jepsen,2160253213,1349265
509,Life Of A Dark Rose,Lil Skies,2160102813,563618
510,While The World Was Burning,Saint JHN,2159182069,489816
511,Face,Jimin,2158488499,4253249
512,Energía,J Balvin,2154257511,715851
513,Oracular Spectacular,MGMT,2152554923,1350900
514,Sick Boy,The Chainsmokers,2147995564,270864
515,808s & Heartbreak,Kanye West,2146134878,1469759
516,Ye,Kanye West,2144017460,1062394
517,All I Want Is You,Miguel,2143947594,2496485
518,Reckless,Bryan Adams,2139844264,1471067
519,High Off Life,Future,2130344683,689692
520,One Of The Boys,Katy Perry,2124441813,1389474
521,Ten,Pearl Jam,2120062087,1010467
522,Uptown Special,Mark Ronson,2116965502,763333
523,Dizzy Up The Girl,The Goo Goo Dolls,2115965266,1574969
524,Led Zeppelin IV,Led Zeppelin,2115938391,927048
525,Hunting High And Low,a-ha,2112534954,1356452
526,"Honestly, Nevermind",Drake,2111587647,1613797
527,5 Seconds Of Summer,5 Seconds of Summer,2111177465,569597
528,Perfect Ten,Mustard,2110639151,488194
529,Barrio Fino,Daddy Yankee,2107255524,1773871
530,Call Me If You Get Lost,"Tyler, The Creator",2106641324,1507416
531,Sigh No More,Mumford & Sons,2106313579,654973
532,B4 The Storm,Internet Money,2105636505,475955
533,Kirk,DaBaby,2104801128,379356
534,K-12 / After School,Melanie Martinez,2104642762,1976180
535,Born In The U.S.A.,Bruce Springsteen,2093794421,1528053
536,An Awesome Wave,alt-J,2092149450,708576
537,Confident,Demi Lovato,2090673254,651584
538,Teatro D'Ira - Vol. I,Måneskin,2089841730,1598164
539,Tha Carter IV,Lil Wayne,2086482797,858986
540,Intimo,Nicky Jam,2086410810,596247
541,Gangalee,Farruko,2084404224,366572
542,Midnight Hour,Alesso & Liam Payne,2075097490,381985
543,Animal,Kesha,2073896587,1623386
544,El Madrileño,C. Tangana,2068781861,1027947
545,Emails I Can't Send,Sabrina Carpenter,2066864176,5388330
546,Golden,Romeo Santos,2065033872,1175259
547,Everybody,Logic,2064483497,285901
548,Willy And The Poor Boys,Creedence Clearwater Revival,2061823943,1732226
549,SremmLife 2,Rae Sremmurd,2061452491,429021
550,Speakerboxxx/The Love Below,Outkast,2061331330,1307744
551,She's So Unusual,Cyndi Lauper,2058677630,2346847
552,Scarlet,Doja Cat,2058539338,3483010
553,Feel Something,Jaymes Young,2058142804,892883
554,Paranoid,Black Sabbath,2056107192,1309777
555,Arcane League Of Legends,Various Artists,2054341317,1103366
556,Use Your Illusion II,Guns N' Roses,2053975385,1236942
557,Destined 2 Win,Lil Tjay,2052122975,820493
558,Footloose,Various Artists,2051964817,1023812
559,Smithereens,Joji,2050648065,1360285
560,Less Is More,Lost Frequencies,2049349174,1109315
561,"Save Me, San Francisco",Train,2047232072,1323757
562,Famouz,Jhayco,2046904791,796550
563,Be The Cowboy,Mitski,2044697039,1650630
564,Championships,Meek Mill,2043954846,673417
565,4 Your Eyez Only,J. Cole,2036830350,576056
566,Eternal Sunshine,Ariana Grande,2036011874,12051963
567,Sublime,Sublime,2034762093,1509759
568,Wanted On Voyage,George Ezra,2034702936,1187511
569,Arrival,ABBA,2032897626,1676552
570,A Love Letter To You 4,Trippie Redd,2032380334,850752
571,Brighter Days,Sigala,2031278254,307952
572,In Utero,Nirvana,2029752986,1505775
573,"I Like It When You Sleep, For You Are So Beautiful Yet So Unaware Of It",The 1975,2026952590,618222
574,Sugar,Robin Schulz,2026786353,540721
575,Av?ci (01),Avicii,2024689305,637796
